Region,RowLabel,ColLabel,Value
"Oceania","GrainsCrops-c","Agriculture-a",3.6580108E+3
"Oceania","GrainsCrops-c","Extraction-a",1.3631010E+2
"Oceania","GrainsCrops-c","ProcFood-a",5.1904555E+3
"Oceania","GrainsCrops-c","TextWapp-a",22.354291393
"Oceania","GrainsCrops-c","LightMnfc-a",51.020798439
"Oceania","GrainsCrops-c","HeavyMnfc-a",1.3768316E+2
"Oceania","GrainsCrops-c","Util_Cons-a",2.8418881E+2
"Oceania","GrainsCrops-c","TransComm-a",1.6047420E+3
"Oceania","GrainsCrops-c","OthServices-a",1.0781334E+3
"Oceania","GrainsCrops-c","hhd",4.3529890E+3
"Oceania","GrainsCrops-c","gov",35.196443398
"Oceania","GrainsCrops-c","inv",5.0505037E+2
"Oceania","MeatLstk-c","Agriculture-a",1.6809719E+4
"Oceania","MeatLstk-c","Extraction-a",43.302138079
"Oceania","MeatLstk-c","ProcFood-a",1.2049255E+4
"Oceania","MeatLstk-c","TextWapp-a",3.0938431E+2
"Oceania","MeatLstk-c","LightMnfc-a",2.7723036E+2
"Oceania","MeatLstk-c","HeavyMnfc-a",9.7646055E+2
"Oceania","MeatLstk-c","Util_Cons-a",1.4242546E+2
"Oceania","MeatLstk-c","TransComm-a",5.5407609E+3
"Oceania","MeatLstk-c","OthServices-a",1.6653170E+3
"Oceania","MeatLstk-c","hhd",1.0182896E+4
"Oceania","MeatLstk-c","gov",50.636807390
"Oceania","MeatLstk-c","inv",6.4701210E+2
"Oceania","Extraction-c","Agriculture-a",6.7790505E+2
"Oceania","Extraction-c","Extraction-a",1.9646915E+4
"Oceania","Extraction-c","ProcFood-a",2.1560649E+3
"Oceania","Extraction-c","TextWapp-a",34.609505890
"Oceania","Extraction-c","LightMnfc-a",3.3832740E+3
"Oceania","Extraction-c","HeavyMnfc-a",5.2184166E+4
"Oceania","Extraction-c","Util_Cons-a",1.0879482E+4
"Oceania","Extraction-c","TransComm-a",1.7761609E+3
"Oceania","Extraction-c","OthServices-a",1.3109210E+3
"Oceania","Extraction-c","hhd",1.5741375E+3
"Oceania","Extraction-c","gov",4.3126539E+2
"Oceania","Extraction-c","inv",2.5171003E+3
"Oceania","ProcFood-c","Agriculture-a",1.5512504E+3
"Oceania","ProcFood-c","Extraction-a",3.9718222E+2
"Oceania","ProcFood-c","ProcFood-a",1.6413691E+4
"Oceania","ProcFood-c","TextWapp-a",17.919612196
"Oceania","ProcFood-c","LightMnfc-a",2.0159640E+2
"Oceania","ProcFood-c","HeavyMnfc-a",8.2018057E+2
"Oceania","ProcFood-c","Util_Cons-a",1.9674398E+2
"Oceania","ProcFood-c","TransComm-a",1.6733975E+4
"Oceania","ProcFood-c","OthServices-a",5.5274905E+3
"Oceania","ProcFood-c","hhd",5.5274843E+4
"Oceania","ProcFood-c","gov",5.5490554E+3
"Oceania","TextWapp-c","Agriculture-a",1.2459855E+2
"Oceania","TextWapp-c","Extraction-a",3.5824765E+2
"Oceania","TextWapp-c","ProcFood-a",2.1522397E+2
"Oceania","TextWapp-c","TextWapp-a",1.7851502E+3
"Oceania","TextWapp-c","LightMnfc-a",7.8745293E+2
"Oceania","TextWapp-c","HeavyMnfc-a",4.6369005E+2
"Oceania","TextWapp-c","Util_Cons-a",7.9350068E+2
"Oceania","TextWapp-c","TransComm-a",1.9397172E+3
"Oceania","TextWapp-c","OthServices-a",2.9149982E+3
"Oceania","TextWapp-c","hhd",1.3203923E+4
"Oceania","TextWapp-c","gov",6.560318735
"Oceania","TextWapp-c","inv",6.4575175E+2
"Oceania","LightMnfc-c","Agriculture-a",8.4325111E+2
"Oceania","LightMnfc-c","Extraction-a",3.8304731E+3
"Oceania","LightMnfc-c","ProcFood-a",4.3838380E+3
"Oceania","LightMnfc-c","TextWapp-a",3.1939242E+2
"Oceania","LightMnfc-c","LightMnfc-a",2.0758643E+4
"Oceania","LightMnfc-c","HeavyMnfc-a",6.8691388E+3
"Oceania","LightMnfc-c","Util_Cons-a",2.8610683E+4
"Oceania","LightMnfc-c","TransComm-a",2.7853551E+4
"Oceania","LightMnfc-c","OthServices-a",2.3815800E+4
"Oceania","LightMnfc-c","hhd",4.4758007E+4
"Oceania","LightMnfc-c","gov",16.837342025
"Oceania","LightMnfc-c","inv",5.3724623E+4
"Oceania","HeavyMnfc-c","Agriculture-a",7.9534108E+3
"Oceania","HeavyMnfc-c","Extraction-a",1.4491273E+4
"Oceania","HeavyMnfc-c","ProcFood-a",6.9377723E+3
"Oceania","HeavyMnfc-c","TextWapp-a",5.0397269E+2
"Oceania","HeavyMnfc-c","LightMnfc-a",2.4763447E+4
"Oceania","HeavyMnfc-c","HeavyMnfc-a",5.3078416E+4
"Oceania","HeavyMnfc-c","Util_Cons-a",4.3802672E+4
"Oceania","HeavyMnfc-c","TransComm-a",4.4197857E+4
"Oceania","HeavyMnfc-c","OthServices-a",3.3024402E+4
"Oceania","HeavyMnfc-c","hhd",3.6440272E+4
"Oceania","HeavyMnfc-c","gov",7.5254252E+2
"Oceania","HeavyMnfc-c","inv",5.5646681E+4
"Oceania","Util_Cons-c","Agriculture-a",2.8332453E+3
"Oceania","Util_Cons-c","Extraction-a",1.4159062E+4
"Oceania","Util_Cons-c","ProcFood-a",1.9618292E+3
"Oceania","Util_Cons-c","TextWapp-a",1.9380613E+2
"Oceania","Util_Cons-c","LightMnfc-a",2.4839915E+3
"Oceania","Util_Cons-c","HeavyMnfc-a",1.2787255E+4
"Oceania","Util_Cons-c","Util_Cons-a",1.0858531E+5
"Oceania","Util_Cons-c","TransComm-a",2.2535947E+4
"Oceania","Util_Cons-c","OthServices-a",4.0638155E+4
"Oceania","Util_Cons-c","hhd",2.2020463E+4
"Oceania","Util_Cons-c","gov",3.5384305E+3
"Oceania","Util_Cons-c","inv",2.3213485E+5
"Oceania","TransComm-c","Agriculture-a",1.0108866E+4
"Oceania","TransComm-c","Extraction-a",2.0075430E+4
"Oceania","TransComm-c","ProcFood-a",1.8198316E+4
"Oceania","TransComm-c","TextWapp-a",1.6470427E+3
"Oceania","TransComm-c","LightMnfc-a",1.9895946E+4
"Oceania","TransComm-c","HeavyMnfc-a",2.6115841E+4
"Oceania","TransComm-c","Util_Cons-a",3.6884545E+4
"Oceania","TransComm-c","TransComm-a",1.2666539E+5
"Oceania","TransComm-c","OthServices-a",1.1306176E+5
"Oceania","TransComm-c","hhd",2.6848514E+5
"Oceania","TransComm-c","gov",1.9439974E+4
"Oceania","TransComm-c","inv",5.2610002E+4
"Oceania","OthServices-c","Agriculture-a",1.1394664E+4
"Oceania","OthServices-c","Extraction-a",2.5881364E+4
"Oceania","OthServices-c","ProcFood-a",1.0734298E+4
"Oceania","OthServices-c","TextWapp-a",9.0763396E+2
"Oceania","OthServices-c","LightMnfc-a",1.2293417E+4
"Oceania","OthServices-c","HeavyMnfc-a",1.6834789E+4
"Oceania","OthServices-c","Util_Cons-a",6.7934374E+4
"Oceania","OthServices-c","TransComm-a",1.2955113E+5
"Oceania","OthServices-c","OthServices-a",2.3692566E+5
"Oceania","OthServices-c","hhd",4.0912095E+5
"Oceania","OthServices-c","gov",2.7580994E+5
"Oceania","OthServices-c","inv",2.5788722E+4
"Oceania","Land","Agriculture-a",6.7184691E+3
"Oceania","Capital","Agriculture-a",1.2122850E+4
"Oceania","Capital","Extraction-a",7.4353323E+4
"Oceania","Capital","ProcFood-a",1.5662295E+4
"Oceania","Capital","TextWapp-a",2.2857661E+3
"Oceania","Capital","LightMnfc-a",2.0355352E+4
"Oceania","Capital","HeavyMnfc-a",2.7084452E+4
"Oceania","Capital","Util_Cons-a",4.2706598E+4
"Oceania","Capital","TransComm-a",9.1326137E+4
"Oceania","Capital","OthServices-a",3.0930587E+5
"Oceania","unSkLab","Agriculture-a",9.5908778E+3
"Oceania","unSkLab","Extraction-a",9.4291217E+3
"Oceania","unSkLab","ProcFood-a",8.2964206E+3
"Oceania","unSkLab","TextWapp-a",1.1313588E+3
"Oceania","unSkLab","LightMnfc-a",1.4055242E+4
"Oceania","unSkLab","HeavyMnfc-a",1.5286442E+4
"Oceania","unSkLab","Util_Cons-a",7.0362259E+4
"Oceania","unSkLab","TransComm-a",1.1159556E+5
"Oceania","unSkLab","OthServices-a",9.6046950E+4
"Oceania","SkLab","Agriculture-a",1.2550554E+4
"Oceania","SkLab","Extraction-a",1.1686321E+4
"Oceania","SkLab","ProcFood-a",8.6232646E+3
"Oceania","SkLab","TextWapp-a",1.1736702E+3
"Oceania","SkLab","LightMnfc-a",1.4540310E+4
"Oceania","SkLab","HeavyMnfc-a",1.5828647E+4
"Oceania","SkLab","Util_Cons-a",3.9576327E+4
"Oceania","SkLab","TransComm-a",1.0332112E+5
"Oceania","SkLab","OthServices-a",2.9572782E+5
"Oceania","NatRes","Extraction-a",3.1821025E+4
"Oceania","itax","Agriculture-a",84.676637646
"Oceania","itax","Extraction-a",-3.635844E+1
"Oceania","itax","ProcFood-a",5.3276230E+2
"Oceania","itax","TextWapp-a",60.975462515
"Oceania","itax","LightMnfc-a",3.4433484E+2
"Oceania","itax","HeavyMnfc-a",5.0826498E+2
"Oceania","itax","Util_Cons-a",1.5217771E+3
"Oceania","itax","TransComm-a",5.9877060E+3
"Oceania","itax","OthServices-a",6.1727344E+3
"Oceania","itax","hhd",7.7306621E+4
"Oceania","itax","gov",1.1946603E+3
"Oceania","itax","inv",2.6178224E+4
"Oceania","mtax","Agriculture-a",61.914070036
"Oceania","mtax","Extraction-a",7.897028784
"Oceania","mtax","ProcFood-a",4.3815325E+2
"Oceania","mtax","TextWapp-a",8.1299532E+2
"Oceania","mtax","LightMnfc-a",5.2655747E+3
"Oceania","mtax","HeavyMnfc-a",2.1731629E+3
"Oceania","mtax","Util_Cons-a",0.000464874
"Oceania","vtax","Agriculture-a",7.8462704E+2
"Oceania","vtax","Extraction-a",5.1306622E+3
"Oceania","vtax","ProcFood-a",1.2460889E+3
"Oceania","vtax","TextWapp-a",1.8311300E+2
"Oceania","vtax","LightMnfc-a",1.9392927E+3
"Oceania","vtax","HeavyMnfc-a",2.3029024E+3
"Oceania","vtax","Util_Cons-a",6.0135819E+3
"Oceania","vtax","TransComm-a",1.2144167E+4
"Oceania","vtax","OthServices-a",2.7955832E+4
"Oceania","RoW","Agriculture-a",4.9435776E+3
"Oceania","RoW","Extraction-a",1.6634741E+4
"Oceania","RoW","ProcFood-a",1.7950990E+4
"Oceania","RoW","TextWapp-a",1.2769055E+4
"Oceania","RoW","LightMnfc-a",8.8586957E+4
"Oceania","RoW","HeavyMnfc-a",1.4822663E+5
"Oceania","RoW","Util_Cons-a",1.9572437E+3
"Oceania","RoW","TransComm-a",3.1155711E+4
"Oceania","RoW","OthServices-a",2.9994322E+4
"EastAsia","GrainsCrops-c","Agriculture-a",1.6769442E+5
"EastAsia","GrainsCrops-c","Extraction-a",5.2590953E+3
"EastAsia","GrainsCrops-c","ProcFood-a",2.5510508E+5
"EastAsia","GrainsCrops-c","TextWapp-a",2.7031540E+4
"EastAsia","GrainsCrops-c","LightMnfc-a",1.0088533E+4
"EastAsia","GrainsCrops-c","HeavyMnfc-a",2.2542085E+4
"EastAsia","GrainsCrops-c","Util_Cons-a",4.1565646E+3
"EastAsia","GrainsCrops-c","TransComm-a",2.7821876E+4
"EastAsia","GrainsCrops-c","OthServices-a",1.7025567E+4
"EastAsia","GrainsCrops-c","hhd",2.8132948E+5
"EastAsia","GrainsCrops-c","gov",41.726151567
"EastAsia","GrainsCrops-c","inv",4.7219920E+2
"EastAsia","MeatLstk-c","Agriculture-a",2.0484316E+5
"EastAsia","MeatLstk-c","Extraction-a",2.6883864E+2
"EastAsia","MeatLstk-c","ProcFood-a",5.5848219E+4
"EastAsia","MeatLstk-c","TextWapp-a",1.4219487E+4
"EastAsia","MeatLstk-c","LightMnfc-a",3.2924407E+4
"EastAsia","MeatLstk-c","HeavyMnfc-a",2.4969399E+4
"EastAsia","MeatLstk-c","Util_Cons-a",32.495224086
"EastAsia","MeatLstk-c","TransComm-a",7.1766928E+4
"EastAsia","MeatLstk-c","OthServices-a",7.8537036E+3
"EastAsia","MeatLstk-c","hhd",3.0064002E+5
"EastAsia","MeatLstk-c","gov",2.3518948E+2
"EastAsia","MeatLstk-c","inv",4.2688430E+4
"EastAsia","Extraction-c","Agriculture-a",2.6993415E+4
"EastAsia","Extraction-c","Extraction-a",8.7901213E+4
"EastAsia","Extraction-c","ProcFood-a",5.2177467E+4
"EastAsia","Extraction-c","TextWapp-a",1.9678057E+3
"EastAsia","Extraction-c","LightMnfc-a",5.8986541E+4
"EastAsia","Extraction-c","HeavyMnfc-a",1.2041629E+6
"EastAsia","Extraction-c","Util_Cons-a",2.7033508E+5
"EastAsia","Extraction-c","TransComm-a",3.4523746E+4
"EastAsia","Extraction-c","OthServices-a",1.3544138E+4
"EastAsia","Extraction-c","hhd",8.8317211E+4
"EastAsia","Extraction-c","gov",0.580787561
"EastAsia","Extraction-c","inv",2.7551639E+3
"EastAsia","ProcFood-c","Agriculture-a",1.4343517E+5
"EastAsia","ProcFood-c","Extraction-a",2.9720231E+4
"EastAsia","ProcFood-c","ProcFood-a",3.7650236E+5
"EastAsia","ProcFood-c","TextWapp-a",3.2262139E+3
"EastAsia","ProcFood-c","LightMnfc-a",1.2567573E+4
"EastAsia","ProcFood-c","HeavyMnfc-a",7.7167450E+4
"EastAsia","ProcFood-c","Util_Cons-a",8.0425698E+3
"EastAsia","ProcFood-c","TransComm-a",1.8182123E+5
"EastAsia","ProcFood-c","OthServices-a",6.9781184E+4
"EastAsia","ProcFood-c","hhd",6.6675112E+5
"EastAsia","ProcFood-c","gov",2.2172959E+3
"EastAsia","ProcFood-c","inv",15.476673721
"EastAsia","TextWapp-c","Agriculture-a",1.2932532E+3
"EastAsia","TextWapp-c","Extraction-a",3.1357317E+3
"EastAsia","TextWapp-c","ProcFood-a",3.0118438E+3
"EastAsia","TextWapp-c","TextWapp-a",5.8397456E+5
"EastAsia","TextWapp-c","LightMnfc-a",7.0431727E+4
"EastAsia","TextWapp-c","HeavyMnfc-a",6.0284225E+4
"EastAsia","TextWapp-c","Util_Cons-a",1.4708741E+4
"EastAsia","TextWapp-c","TransComm-a",1.9935408E+4
"EastAsia","TextWapp-c","OthServices-a",6.1198752E+4
"EastAsia","TextWapp-c","hhd",2.0856877E+5
"EastAsia","TextWapp-c","gov",1.0325889E+2
"EastAsia","TextWapp-c","inv",3.0406949E+3
"EastAsia","LightMnfc-c","Agriculture-a",9.7363472E+3
"EastAsia","LightMnfc-c","Extraction-a",3.3494916E+4
"EastAsia","LightMnfc-c","ProcFood-a",4.2356441E+4
"EastAsia","LightMnfc-c","TextWapp-a",3.1494704E+4
"EastAsia","LightMnfc-c","LightMnfc-a",1.3494646E+6
"EastAsia","LightMnfc-c","HeavyMnfc-a",4.4333160E+5
"EastAsia","LightMnfc-c","Util_Cons-a",3.0547973E+5
"EastAsia","LightMnfc-c","TransComm-a",2.2330607E+5
"EastAsia","LightMnfc-c","OthServices-a",3.7581128E+5
"EastAsia","LightMnfc-c","hhd",4.1775216E+5
"EastAsia","LightMnfc-c","gov",4.1019169E+2
"EastAsia","LightMnfc-c","inv",8.2528079E+5
"EastAsia","HeavyMnfc-c","Agriculture-a",9.2710073E+4
"EastAsia","HeavyMnfc-c","Extraction-a",1.2889309E+5
"EastAsia","HeavyMnfc-c","ProcFood-a",6.0458741E+4
"EastAsia","HeavyMnfc-c","TextWapp-a",1.1843721E+5
"EastAsia","HeavyMnfc-c","LightMnfc-a",1.1278582E+6
"EastAsia","HeavyMnfc-c","HeavyMnfc-a",6.3688355E+6
"EastAsia","HeavyMnfc-c","Util_Cons-a",1.4472542E+6
"EastAsia","HeavyMnfc-c","TransComm-a",4.5181668E+5
"EastAsia","HeavyMnfc-c","OthServices-a",6.3238778E+5
"EastAsia","HeavyMnfc-c","hhd",5.8674984E+5
"EastAsia","HeavyMnfc-c","gov",6.9445358E+2
"EastAsia","HeavyMnfc-c","inv",1.1758471E+6
"EastAsia","Util_Cons-c","Agriculture-a",1.4939575E+4
"EastAsia","Util_Cons-c","Extraction-a",2.8485166E+4
"EastAsia","Util_Cons-c","ProcFood-a",1.9593719E+4
"EastAsia","Util_Cons-c","TextWapp-a",2.4468344E+4
"EastAsia","Util_Cons-c","LightMnfc-a",9.1104196E+4
"EastAsia","Util_Cons-c","HeavyMnfc-a",4.2801824E+5
"EastAsia","Util_Cons-c","Util_Cons-a",1.8063126E+5
"EastAsia","Util_Cons-c","TransComm-a",1.3780480E+5
"EastAsia","Util_Cons-c","OthServices-a",2.3273258E+5
"EastAsia","Util_Cons-c","hhd",1.9543465E+5
"EastAsia","Util_Cons-c","gov",9.7918966E+3
"EastAsia","Util_Cons-c","inv",3.1477721E+6
"EastAsia","TransComm-c","Agriculture-a",9.9833234E+4
"EastAsia","TransComm-c","Extraction-a",5.9944942E+4
"EastAsia","TransComm-c","ProcFood-a",1.5081761E+5
"EastAsia","TransComm-c","TextWapp-a",9.9161370E+4
"EastAsia","TransComm-c","LightMnfc-a",3.4967311E+5
"EastAsia","TransComm-c","HeavyMnfc-a",8.2842352E+5
"EastAsia","TransComm-c","Util_Cons-a",3.3843599E+5
"EastAsia","TransComm-c","TransComm-a",1.0315974E+6
"EastAsia","TransComm-c","OthServices-a",7.8595329E+5
"EastAsia","TransComm-c","hhd",1.8497689E+6
"EastAsia","TransComm-c","gov",4.2648491E+4
